IML,no.blgs,Damage States
49.851999999999997,100.0,"[1.0, 0.7, 0.54]"
47.055999999999997,100.0,"[1.0, 0.46, 0.31]"
33.012,100.0,"[1.0, 0.41, 0.31]"
82.125,100.0,"[1.0, 0.76, 0.5]"
37.499000000000002,100.0,"[1.0, 0.42, 0.37]"
3.1589999999999998,100.0,"[1.0, 0.0, 0.0]"
52.204999999999998,100.0,"[1.0, 0.7, 0.46]"
88.363,100.0,"[1.0, 0.93, 0.58]"
290.11000000000001,100.0,"[1.0, 1.0, 1.0]"
241.78,100.0,"[1.0, 1.0, 0.95]"
273.37,100.0,"[1.0, 1.0, 1.0]"
151.24000000000001,100.0,"[1.0, 1.0, 0.88]"
92.956999999999994,100.0,"[1.0, 0.96, 0.72]"
40.100999999999999,100.0,"[1.0, 0.24, 0.08]"
97.534999999999997,100.0,"[1.0, 0.9, 0.65]"
54.722999999999999,100.0,"[1.0, 0.6, 0.43]"
26.081,100.0,"[1.0, 0.2, 0.16]"
105.61,100.0,"[1.0, 0.96, 0.59]"
156.81,100.0,"[1.0, 0.81, 0.41]"
82.400999999999996,100.0,"[1.0, 0.99, 0.6]"
26.806999999999999,100.0,"[1.0, 0.05, 0.0]"
10.451000000000001,100.0,"[1.0, 0.36, 0.32]"
111.34999999999999,100.0,"[1.0, 0.93, 0.62]"
103.13,100.0,"[1.0, 0.76, 0.45]"
34.968000000000004,100.0,"[1.0, 0.42, 0.36]"
86.087000000000003,100.0,"[1.0, 0.91, 0.58]"
53.448999999999998,100.0,"[1.0, 0.48, 0.41]"
91.543000000000006,100.0,"[1.0, 0.94, 0.69]"
113.75,100.0,"[1.0, 1.0, 0.82]"
3.7490000000000001,100.0,"[1.0, 0.03, 0.03]"
1.6701999999999999,100.0,"[1.0, 0.0, 0.0]"
66.590999999999994,100.0,"[1.0, 0.38, 0.34]"
17.617999999999999,100.0,"[1.0, 0.18, 0.13]"
10.119,100.0,"[1.0, 0.25, 0.24]"
198.25999999999999,100.0,"[1.0, 1.0, 0.95]"
12.782999999999999,100.0,"[1.0, 0.11, 0.11]"
87.247,100.0,"[1.0, 0.88, 0.73]"
89.894000000000005,100.0,"[1.0, 0.76, 0.5]"
120.34,100.0,"[1.0, 0.98, 0.74]"
70.221000000000004,100.0,"[1.0, 0.8, 0.56]"
180.94999999999999,100.0,"[1.0, 1.0, 0.74]"
45.987000000000002,100.0,"[1.0, 0.71, 0.52]"
157.49000000000001,100.0,"[1.0, 1.0, 0.69]"
161.19999999999999,100.0,"[1.0, 1.0, 0.71]"
106.20999999999999,100.0,"[1.0, 0.95, 0.61]"
240.13999999999999,100.0,"[1.0, 1.0, 0.97]"
53.616,100.0,"[1.0, 0.73, 0.58]"
203.47999999999999,100.0,"[1.0, 1.0, 1.0]"
98.635999999999996,100.0,"[1.0, 0.94, 0.67]"
38.628,100.0,"[1.0, 0.29, 0.26]"
130.13,100.0,"[1.0, 0.99, 0.74]"
90.114000000000004,100.0,"[1.0, 0.91, 0.7]"
201.05000000000001,100.0,"[1.0, 1.0, 0.96]"
204.96000000000001,100.0,"[1.0, 1.0, 0.85]"
156.81,100.0,"[1.0, 1.0, 0.61]"
264.0,100.0,"[1.0, 1.0, 0.96]"
175.03999999999999,100.0,"[1.0, 1.0, 0.92]"
49.518000000000001,100.0,"[1.0, 0.75, 0.53]"
123.19,100.0,"[1.0, 0.99, 0.61]"
123.70999999999999,100.0,"[1.0, 0.99, 0.64]"
348.13,100.0,"[1.0, 1.0, 1.0]"
314.31,100.0,"[1.0, 1.0, 1.0]"
382.72000000000003,100.0,"[1.0, 1.0, 1.0]"
111.55,100.0,"[1.0, 0.99, 0.76]"
136.55000000000001,100.0,"[1.0, 1.0, 0.8]"
126.73,100.0,"[1.0, 0.99, 0.61]"
235.22,100.0,"[1.0, 1.0, 0.81]"
40.210999999999999,100.0,"[1.0, 0.25, 0.1]"
129.13,100.0,"[1.0, 1.0, 0.66]"
109.84999999999999,100.0,"[1.0, 1.0, 0.74]"
