taxonomy,imt,iml_unit,noDamageLimit,iml,slight,moderate,extreme,complete
RC,PGA,g,0.05,0.05,0,0,0,0
RC,PGA,g,0.05,0.2,0.788,0.6,0.341,0.109
RC,PGA,g,0.05,0.4,0.97,0.909,0.75,0.441
RC,PGA,g,0.05,0.6,0.994,0.976,0.904,0.686
RC,PGA,g,0.05,0.8,0.998,0.992,0.96,0.825
RC,PGA,g,0.05,1,1,0.997,0.982,0.9
RC,PGA,g,0.05,1.2,1,0.999,0.992,0.942
RC,PGA,g,0.05,1.4,1,1,0.996,0.965
UFB,PGA,g,0.05,0.05,0,0,0,0
UFB,PGA,g,0.05,0.2,0.771,0.5,0.231,0.097
UFB,PGA,g,0.05,0.4,0.95,0.861,0.636,0.414
UFB,PGA,g,0.05,0.6,0.989,0.957,0.837,0.661
UFB,PGA,g,0.05,0.8,0.997,0.985,0.924,0.806
UFB,PGA,g,0.05,1,0.999,0.994,0.962,0.887
UFB,PGA,g,0.05,1.2,1,0.997,0.981,0.933
UFB,PGA,g,0.05,1.4,1,0.999,0.989,0.959
WOOD,PGA,g,0.05,0.05,0,0,0,0
WOOD,PGA,g,0.05,0.2,0.75,0.6,0.341,0.168
WOOD,PGA,g,0.05,0.4,0.96,0.909,0.75,0.548
WOOD,PGA,g,0.05,0.6,0.992,0.976,0.904,0.775
WOOD,PGA,g,0.05,0.8,0.998,0.992,0.96,0.886
WOOD,PGA,g,0.05,1,0.999,0.997,0.982,0.94
WOOD,PGA,g,0.05,1.2,1,0.999,0.992,0.967
WOOD,PGA,g,0.05,1.4,1,1,0.996,0.981
ADOBE,PGA,g,0.05,0.05,0,0,0,0
ADOBE,PGA,g,0.05,0.2,0.673,0.532,0.3,0.148
ADOBE,PGA,g,0.05,0.4,0.937,0.878,0.711,0.516
ADOBE,PGA,g,0.05,0.6,0.985,0.964,0.883,0.75
ADOBE,PGA,g,0.05,0.8,0.996,0.988,0.95,0.869
ADOBE,PGA,g,0.05,1,0.998,0.995,0.977,0.929
ADOBE,PGA,g,0.05,1.2,0.999,0.998,0.989,0.96
ADOBE,PGA,g,0.05,1.4,1,0.999,0.994,0.977
