Rupture,Magnitude,Aggregate Loss
trt=08|ses=0001|src=6-65|rup=031-01,7.0500000,25116859307.7999992
trt=08|ses=0001|src=6-134|rup=025-01,6.4500000,13487152102.2999992
trt=08|ses=0001|src=6-87|rup=023-01,6.2500000,6877248608.8400002
trt=08|ses=0001|src=5-126|rup=012-01,5.1500000,6758923011.9200001
trt=08|ses=0001|src=5-145|rup=016-01,5.5500000,6504710849.6300001
trt=08|ses=0001|src=6-42|rup=029-01,6.8500000,5455203647.6599998
trt=08|ses=0001|src=6-123|rup=021-01,6.0500000,5076279764.8599997
trt=08|ses=0001|src=6-95|rup=014-01,5.3500000,4426555301.6800003
trt=08|ses=0001|src=5-106|rup=018-01,5.7500000,3131049032.7600002
trt=08|ses=0001|src=5-119|rup=005-02,4.4500000,2358131863.9000001
trt=08|ses=0001|src=6-146|rup=017-01,5.6500000,2327116860.6500001
trt=08|ses=0001|src=5-127|rup=007-01,4.6500000,2276320581.5999999
trt=08|ses=0001|src=5-126|rup=008-01,4.7500000,2084437459.7600000
trt=08|ses=0001|src=5-162|rup=008-01,4.7500000,1972526392.4700000
trt=07|ses=0001|src=0-1608|rup=034-01,7.3500000,1902675025.7500000
trt=08|ses=0001|src=5-119|rup=005-01,4.4500000,1897307773.3299999
trt=08|ses=0001|src=5-150|rup=006-01,4.5500000,1754300640.6500001
trt=08|ses=0001|src=5-129|rup=004-01,4.3500000,1673533554.4500000
trt=08|ses=0001|src=5-158|rup=008-02,4.7500000,1333513646.6199999
trt=08|ses=0001|src=3-76|rup=024-01,6.3500000,1285604977.8000000
trt=08|ses=0001|src=4-409|rup=008-01,4.7500000,1273357228.9300001
trt=08|ses=0001|src=5-80|rup=009-01,4.8500000,1210247093.0300000
trt=08|ses=0001|src=5-158|rup=008-01,4.7500000,1029485403.5200000
trt=08|ses=0001|src=5-99|rup=005-01,4.4500000,1016922814.3000000
trt=08|ses=0001|src=5-124|rup=009-01,4.8500000,911082338.6430000
trt=08|ses=0001|src=5-130|rup=002-01,4.1500000,834250307.5089999
trt=08|ses=0001|src=3-287|rup=024-01,6.3500000,821119083.6950001
trt=07|ses=0001|src=0-2104|rup=029-01,6.8500000,756804562.6730000
trt=08|ses=0001|src=4-384|rup=007-01,4.6500000,717662922.9260000
trt=08|ses=0001|src=5-182|rup=006-01,4.5500000,694016730.9200000
trt=08|ses=0001|src=6-245|rup=020-01,5.9500000,643741814.8500000
trt=08|ses=0001|src=5-141|rup=002-01,4.1500000,585930998.0540000
trt=08|ses=0001|src=5-93|rup=007-01,4.6500000,532293687.3680000
trt=08|ses=0001|src=3-244|rup=023-01,6.2500000,524865383.9950000
trt=08|ses=0001|src=6-70|rup=018-01,5.7500000,510536661.5130000
trt=08|ses=0001|src=5-137|rup=004-01,4.3500000,487270010.5450000
trt=07|ses=0001|src=2-565|rup=027-01,6.6500000,485626622.3120000
trt=08|ses=0001|src=5-169|rup=006-01,4.5500000,480663412.4750000
trt=07|ses=0001|src=0-3|rup=024-01,6.3500000,476733647.3140000
trt=08|ses=0001|src=6-337|rup=019-01,5.8500000,468698624.6120000
trt=08|ses=0001|src=5-152|rup=002-01,4.1500000,450122236.3370000
trt=08|ses=0001|src=6-209|rup=016-01,5.5500000,449612547.3270000
trt=08|ses=0001|src=5-104|rup=009-01,4.8500000,441987374.3470000
trt=08|ses=0001|src=5-141|rup=002-02,4.1500000,437540689.6640000
trt=07|ses=0001|src=0-575|rup=023-01,6.2500000,372204658.2060000
trt=08|ses=0001|src=5-111|rup=001-01,4.0500000,354761686.4780000
trt=07|ses=0001|src=0-1182|rup=021-01,6.0500000,354053531.0370000
trt=08|ses=0001|src=5-80|rup=005-01,4.4500000,335897780.3730000
trt=08|ses=0001|src=5-65|rup=010-01,4.9500000,314587043.8680000
trt=08|ses=0001|src=4-445|rup=002-01,4.1500000,308813968.0700000
trt=08|ses=0001|src=5-149|rup=001-01,4.0500000,297601781.0230000
trt=08|ses=0001|src=5-153|rup=002-01,4.1500000,289701342.9390000
trt=08|ses=0001|src=8-213|rup=017-01,5.6500000,287129385.9040000
trt=08|ses=0001|src=6-13|rup=017-01,5.6500000,284967896.0060000
trt=08|ses=0001|src=4-408|rup=003-01,4.2500000,268234852.0260000
trt=08|ses=0001|src=4-421|rup=002-01,4.1500000,265264757.2800000
trt=08|ses=0001|src=5-112|rup=003-01,4.2500000,260840645.2600000
trt=08|ses=0001|src=4-384|rup=004-01,4.3500000,246873670.0910000
trt=07|ses=0001|src=0-481|rup=020-01,5.9500000,243245310.9490000
trt=08|ses=0001|src=4-417|rup=009-01,4.8500000,232144376.7100000
trt=08|ses=0001|src=4-369|rup=009-01,4.8500000,230804856.8040000
trt=08|ses=0001|src=6-35|rup=011-01,5.0500000,227874386.2270000
trt=07|ses=0001|src=0-852|rup=020-01,5.9500000,220028860.0810000
trt=07|ses=0001|src=2-1052|rup=026-01,6.5500000,213435759.9220000
trt=07|ses=0001|src=2-1601|rup=025-01,6.4500000,180055382.9820000
trt=07|ses=0001|src=0-169|rup=021-01,6.0500000,177914344.7090000
trt=08|ses=0001|src=5-135|rup=002-01,4.1500000,177265610.5820000
trt=08|ses=0001|src=5-144|rup=002-01,4.1500000,175187499.5330000
trt=07|ses=0001|src=0-276|rup=018-01,5.7500000,157815919.1690000
