Rupture,Magnitude,Aggregate Loss
smlt=00|ses=0010|src=229-38|rup=006-01,7.7500000,3101296642.6999998
smlt=00|ses=0004|src=229-75|rup=005-01,7.2500000,3096762289.1300001
smlt=00|ses=0006|src=230-18|rup=002-01,5.7500000,2632088387.7100000
smlt=00|ses=0008|src=231-225|rup=005-01,7.2500000,2409973532.4600000
smlt=00|ses=0003|src=230-193|rup=004-01,6.7500000,1835030715.3699999
smlt=00|ses=0008|src=230-20|rup=002-01,5.7500000,1735243734.7100000
smlt=00|ses=0002|src=230-8|rup=001-02,5.2500000,1620858554.3699999
smlt=00|ses=0005|src=229-53|rup=004-01,6.7500000,1490194031.8000000
smlt=00|ses=0005|src=230-121|rup=002-01,5.7500000,1417014510.4100001
smlt=00|ses=0008|src=230-281|rup=003-01,6.2500000,1391082654.3699999
smlt=00|ses=0005|src=232-104|rup=004-01,6.7500000,1384531494.7900000
smlt=00|ses=0003|src=229-135|rup=004-01,6.7500000,1372461152.9900000
smlt=00|ses=0003|src=230-34|rup=003-01,6.2500000,1371502494.5300000
smlt=00|ses=0004|src=230-219|rup=003-01,6.2500000,1331441630.9600000
smlt=00|ses=0001|src=229-91|rup=001-01,5.2500000,1304856463.0899999
smlt=00|ses=0008|src=230-308|rup=002-01,5.7500000,1276406974.7600000
smlt=00|ses=0004|src=229-31|rup=004-01,6.7500000,1262861050.9000001
smlt=00|ses=0005|src=231-76|rup=004-01,6.7500000,1180082192.6199999
smlt=00|ses=0007|src=235-364|rup=005-01,7.2500000,1177543736.6099999
smlt=00|ses=0010|src=229-126|rup=005-01,7.2500000,1171040667.1600001
smlt=00|ses=0007|src=235-455|rup=005-01,7.2500000,1168001502.6900001
smlt=00|ses=0001|src=229-83|rup=003-01,6.2500000,1155463560.4700000
smlt=00|ses=0005|src=230-250|rup=002-01,5.7500000,1137735692.0699999
smlt=00|ses=0005|src=231-33|rup=005-01,7.2500000,1115386081.2300000
smlt=00|ses=0001|src=229-67|rup=003-01,6.2500000,1101379021.3199999
smlt=00|ses=0002|src=230-8|rup=001-01,5.2500000,1064777883.2900000
